                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5473,                  2.177,                 2.0692,                0.91505,                0.90695,                0.92526,                0.47247,                 1.5002,                 1.3651,                 1.2415,              0.0032704,              0.0032704,              0.0032704
                      2,                 1.5282,                0.83756,                 1.3425,                 0.9796,                0.96543,                0.98781,                0.53937,                 1.4521,                0.74121,                 1.1872,              0.0065965,              0.0065965,              0.0065965
                      3,                 1.4493,                0.71128,                 1.2828,                0.98375,                0.95909,                0.98914,                0.56884,                 1.3934,                0.59379,                 1.1501,              0.0099152,              0.0099152,              0.0099152
                      4,                  1.421,                0.66516,                 1.2488,                0.98504,                0.97595,                 0.9928,                0.52691,                  1.592,                0.68775,                 1.2218,               0.009967,               0.009967,               0.009967
                      5,                 1.3427,                0.61862,                  1.196,                0.99099,                 0.9775,                0.99392,                0.51307,                  1.622,                0.60658,                  1.225,               0.009967,               0.009967,               0.009967
                      6,                 1.2891,                0.56871,                 1.1703,                0.98601,                0.97465,                0.99356,                0.60807,                 1.3336,                0.56071,                 1.0793,               0.009956,               0.009956,               0.009956
                      7,                 1.2387,                0.55008,                 1.1296,                0.99022,                0.97815,                0.99436,                0.67627,                 1.1322,                0.55829,                 1.0033,               0.009945,               0.009945,               0.009945
                      8,                 1.2077,                0.53653,                 1.1135,                 0.9931,                0.98706,                0.99473,                0.65261,                 1.1685,                 0.4896,                 1.0076,               0.009934,               0.009934,               0.009934
                      9,                 1.2002,                0.51889,                 1.1116,                0.99283,                0.97875,                0.99423,                0.67961,                 1.1062,                0.45585,                0.98856,               0.009923,               0.009923,               0.009923
                     10,                 1.1535,                0.51238,                 1.0941,                0.99285,                0.98623,                0.99481,                0.70573,                 1.0921,                0.43893,                0.97961,               0.009912,               0.009912,               0.009912
                     11,                 1.1488,                0.49248,                 1.0839,                0.99464,                0.99179,                0.99487,                0.72761,                0.97167,                0.41419,                0.93377,               0.009901,               0.009901,               0.009901
                     12,                 1.1386,                0.49707,                  1.091,                0.99498,                0.98529,                0.99472,                0.66568,                 1.1309,                0.43289,                0.99163,                0.00989,                0.00989,                0.00989
                     13,                  1.121,                0.50108,                  1.071,                0.99242,                0.98836,                0.99478,                0.71576,                 1.0297,                 0.4173,                0.96126,               0.009879,               0.009879,               0.009879
                     14,                 1.0975,                0.48651,                  1.064,                0.99409,                0.99184,                0.99475,                 0.6435,                 1.2005,                  0.433,                 1.0212,               0.009868,               0.009868,               0.009868
                     15,                 1.0928,                0.47101,                 1.0573,                0.99383,                0.98827,                0.99481,                0.72095,                 1.0001,                0.40663,                0.94864,               0.009857,               0.009857,               0.009857
                     16,                 1.0799,                0.45601,                 1.0427,                 0.9954,                0.99249,                0.99497,                0.73777,                0.94285,                0.38608,                0.92907,               0.009846,               0.009846,               0.009846
                     17,                 1.0825,                0.46097,                 1.0553,                0.99614,                 0.9944,                0.99497,                0.72067,                 1.0217,                0.39375,                0.94976,               0.009835,               0.009835,               0.009835
